"anyo","provincia","comarca","cdmun","municipi","codi_sector","descripcio_sector","consum_kwh","observacions"
2013,"BARCELONA","BARCELONES","08019","BARCELONA",5,"TRANSPORT","309525663",NULL
2013,"BARCELONA","BARCELONES","08019","BARCELONA",6,"TERCIARI","3985952832",NULL
2013,"BARCELONA","BARCELONES","08019","BARCELONA",7,"USOS DOMESTICS","2067650178",NULL
2013,"BARCELONA","BAIX LLOBREGAT","08020","BEGUES",1,"PRIMARI",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","BAIX LLOBREGAT","08020","BEGUES",3,"INDUSTRIAL",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","BAIX LLOBREGAT","08020","BEGUES",4,"CONSTRUCCIO I OBRES PUBLIQUES","170238",NULL
2013,"BARCELONA","BAIX LLOBREGAT","08020","BEGUES",6,"TERCIARI","5518407",NULL
2013,"BARCELONA","BAIX LLOBREGAT","08020","BEGUES",7,"USOS DOMESTICS","11919477",NULL
2013,"BARCELONA","ANOIA","08021","BELLPRAT",1,"PRIMARI","18654",NULL
2013,"BARCELONA","ANOIA","08021","BELLPRAT",4,"CONSTRUCCIO I OBRES PUBLIQUES",NULL,"Dada subjecta a secret estadístic."
2013,"BARCELONA","ANOIA","08021","BELLPRAT",6,"TERCIARI","45236",NULL
2013,"BARCELONA","ANOIA","08021","BELLPRAT",7,"USOS DOMESTICS","124753",NULL
2013,"BARCELONA","BERGUEDA","08022","BERGA",1,"PRIMARI","18941",NULL
2013,"BARCELONA","BERGUEDA","08022","BERGA",3,"INDUSTRIAL","15462762",NULL
2013,"BARCELONA","BERGUEDA","08022","BERGA",4,"CONSTRUCCIO I OBRES PUBLIQUES","523238",NULL
2013,"BARCELONA","BERGUEDA","08022","BERGA",6,"TERCIARI","24533225",NULL
2013,"BARCELONA","BERGUEDA","08022","BERGA",7,"USOS DOMESTICS","24166386",NULL
2013,"BARCELONA","VALLES ORIENTAL","08023","BIGUES I RIELLS",1,"PRIMARI","995941",NULL
2013,"BARCELONA","VALLES ORIENTAL","08023","BIGUES I RIELLS",3,"INDUSTRIAL","7157692",NULL
2013,"BARCELONA","VALLES ORIENTAL","08023","BIGUES I RIELLS",4,"CONSTRUCCIO I OBRES PUBLIQUES","314464",NULL
2013,"BARCELONA","VALLES ORIENTAL","08023","BIGUES I RIELLS",6,"TERCIARI","7056959",NULL
2013,"BARCELONA","VALLES ORIENTAL","08023","BIGUES I RIELLS",7,"USOS DOMESTICS","14123826",NULL
