"id","codimuni","nommuni","areaofi","areapol","codicomar","codiprov","validde","dataalta","habitants","altitud","nomcomar"
642,"251272","Lles de Cerdanya",NULL,"102.6372","15","25",NULL,"201707262100",227,1471,"Cerdanya"
643,"251288","Llimiana",NULL,"41.5862","25","25",NULL,"201707262100",158,790,"Pallars Jussà"
644,"251291","Llobera",NULL,"38.9701","35","25",NULL,"201707262100",222,855,"Solsonès"
645,"251305","Maldà","31.5338","31.5338","38","25","20150128","201707262100",285,428,"Urgell"
646,"251312","Massalcoreig",NULL,"13.6349","33","25",NULL,"201707262100",635,94,"Segrià"
647,"251327","Massoteres","26.1350","26.135","32","25","20140212","201707262100",225,502,"Segarra"
648,"251333","Maials",NULL,"57.1292","33","25",NULL,"201707262100",973,395,"Segrià"
649,"251348","Menàrguens","20.5354","20.5354","23","25","20141022","201707262100",863,205,"Noguera"
650,"251351","Miralcamp",NULL,"14.89","27","25",NULL,"201707262100",1310,287,"Pla d'Urgell"
651,"251364","la Molsosa",NULL,"26.8295","35","25",NULL,"201707262100",127,667,"Solsonès"
652,"251370","Mollerussa",NULL,"6.9739","27","25",NULL,"201707262100",12569,250,"Pla d'Urgell"
653,"251386","Montgai","29.1300","29.13","23","25","20140514","201707262100",772,286,"Noguera"
654,"251399","Montellà i Martinet",NULL,"55.1906","15","25",NULL,"201707262100",606,967,"Cerdanya"
655,"251403","Montferrer i Castellbò",NULL,"177.1654","04","25",NULL,"201707262100",944,732,"Alt Urgell"
656,"251410","Montoliu de Segarra","29.4517","29.4517","32","25","20150730","201707262100",186,689,"Segarra"
657,"251425","Montoliu de Lleida",NULL,"7.3397","33","25",NULL,"201707262100",498,166,"Segrià"
658,"251431","Montornès de Segarra","12.1342","12.1342","32","25","20160505","201707262100",105,605,"Segarra"
659,"251459","Nalec","9.67","9.67","38","25","20111214","201707262100",102,487,"Urgell"
660,"251462","Navès",NULL,"145.013","35","25",NULL,"201801011500",262,610,"Solsonès"
661,"251484","Odèn","114.4205","114.4205","35","25","20150730","201707262100",275,1130,"Solsonès"
662,"251497","Oliana",NULL,"32.1353","04","25",NULL,"201707262100",1939,469,"Alt Urgell"
663,"251500","Oliola",NULL,"86.1095","23","25",NULL,"201707262100",246,452,"Noguera"
664,"251517","Olius",NULL,"54.709","35","25",NULL,"201707262100",686,742,"Solsonès"
665,"251522","les Oluges","19.08","19.08","32","25","20100722","201707262100",174,528,"Segarra"
666,"251538","els Omellons","11.01","11.01","18","25","20091007","201707262100",252,385,"Garrigues"
667,"251543","els Omells de na Gaia","13.0077","13.0077","38","25","20131016","201707262100",159,560,"Urgell"
668,"251556","Organyà",NULL,"12.5933","04","25",NULL,"201707262100",961,558,"Alt Urgell"
669,"251569","Os de Balaguer",NULL,"136.0013","23","25",NULL,"201707262100",924,463,"Noguera"
670,"251575","Ossó de Sió",NULL,"26.0853","38","25",NULL,"201801011500",236,391,"Urgell"
671,"251581","el Palau d'Anglesola",NULL,"12.3433","27","25",NULL,"201707262100",1883,250,"Pla d'Urgell"
672,"251615","Conca de Dalt",NULL,"165.7046","25","25",NULL,"201707262100",428,507,"Pallars Jussà"
673,"251636","la Coma i la Pedra","60.7274","60.7274","35","25","20170726","201707262100",253,1004,"Solsonès"
674,"251641","Penelles","25.4599","25.4599","23","25","20170726","201707262100",525,276,"Noguera"
